Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 5 ; New label: 5
Label: -1 ; New label: -1
Label: 0 ; New label: 0
Label: 2 ; New label: 2
Label: 1 ; New label: 1
Label: 2 ; New label: 2
Label: 1 ; New label: 1
Label: 3 ; New label: 3
Label: -1 ; New label: -1
Label: 4 ; New label: 4
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 5 ; New label: 5
Label: 5 ; New label: 5
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 15 ; New label: 17
Label: 2 ; New label: 2
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 17 ; New label: 19
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 7 ; New label: 7
Label: 4 ; New label: 4
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: 10 ; New label: 10
Label: -1 ; New label: -1
Label: 7 ; New label: 7
Label: 2 ; New label: 2
Label: 5 ; New label: 5
Label: 14 ; New label: 16
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: 8 ; New label: 8
Label: 17 ; New label: 19
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 8 ; New label: 8
Label: 2 ; New label: 2
Label: 5 ; New label: 5
Label: 3 ; New label: 3
Label: -1 ; New label: -1
Label: 9 ; New label: 9
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 10 ; New label: 10
Label: 10 ; New label: 10
Label: 16 ; New label: 18
Label: 16 ; New label: 18
Label: 8 ; New label: 8
Label: 11 ; New label: 11
Label: 15 ; New label: 17
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 10 ; New label: 10
Label: 6 ; New label: 6
Label: 16 ; New label: 18
Label: 10 ; New label: 10
Label: 12 ; New label: 12
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 1 ; New label: 1
Label: 9 ; New label: 9
Label: 10 ; New label: 10
Label: 13 ; New label: 15
Label: 3 ; New label: 3
Label: 13 ; New label: 15
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: 13 ; New label: 15
Label: 11 ; New label: 11
Label: 9 ; New label: 9
Label: 3 ; New label: 3
Label: -1 ; New label: -1
Label: 13 ; New label: 15
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 9 ; New label: 9
Label: -1 ; New label: -1
Label: 3 ; New label: 3
Label: 14 ; New label: 16
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: 14 ; New label: 16
Label: 5 ; New label: 5
Label: 11 ; New label: 11
Label: 7 ; New label: 7
Label: -1 ; New label: -1
Label: 12 ; New label: 12
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 7 ; New label: 7
Label: 1 ; New label: 1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 15 ; New label: 17
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 15 ; New label: 17
Label: 11 ; New label: 11
Label: 5 ; New label: 5
Label: 2 ; New label: 2
Label: 8 ; New label: 8
Label: 11 ; New label: 11
Label: 7 ; New label: 7
Label: 13 ; New label: 15
Label: -1 ; New label: -1
Label: 16 ; New label: 18
Label: 5 ; New label: 5
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: 12 ; New label: 12
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: 8 ; New label: 8
Label: 8 ; New label: 8
Label: 7 ; New label: 7
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 5 ; New label: 5
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: 5 ; New label: 5
Label: 5 ; New label: 5
Label: 11 ; New label: 11
Label: 0 ; New label: 0
Label: -1 ; New label: -1
Label: 0 ; New label: 0
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 14 ; New label: 16
Label: 15 ; New label: 17
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 13 ; New label: 15
Label: 0 ; New label: 0
Label: 17 ; New label: 19
Label: 5 ; New label: 5
Label: 17 ; New label: 19
Label: 2 ; New label: 2
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 7 ; New label: 7
Label: -1 ; New label: -1
Label: 5 ; New label: 5
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: 13 ; New label: 15
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 0 ; New label: 0
Label: -1 ; New label: -1
Label: 9 ; New label: 9
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 17 ; New label: 19
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 9 ; New label: 9
Label: 7 ; New label: 7
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: 9 ; New label: 9
Label: 14 ; New label: 16
Label: -1 ; New label: -1
Label: 1 ; New label: 1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 8 ; New label: 8
Label: 16 ; New label: 18
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 3 ; New label: 3
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 1 ; New label: 1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 5 ; New label: 5
Label: 13 ; New label: 15
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: -1 ; New label: -1
Label: 10 ; New label: 10
Label: 2 ; New label: 2
Label: 5 ; New label: 5
Label: 9 ; New label: 9
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 4 ; New label: 4
Label: -1 ; New label: -1
Label: 13 ; New label: 15
Label: 9 ; New label: 9
Label: -1 ; New label: -1
Label: 2 ; New label: 2
Label: 13 ; New label: 15
Label: 6 ; New label: 6
Label: 3 ; New label: 3
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 4 ; New label: 4
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 7 ; New label: 7
Label: 11 ; New label: 11
Label: -1 ; New label: -1
Label: 10 ; New label: 10
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 11 ; New label: 11
Label: 12 ; New label: 12
Label: 6 ; New label: 6
Label: -1 ; New label: -1
Label: 0 ; New label: 0
Label: 5 ; New label: 5
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: -1 ; New label: -1
Label: 4 ; New label: 4
Label: 13 ; New label: 15
Label: 12 ; New label: 12
Label: 7 ; New label: 7
